"","model","epp"
"1","gbm_1001",-9.36009964697096
"2","gbm_1002",-4.06162521897237
"3","gbm_1003",-8.59159469580168
"4","gbm_1004",-0.590747536778687
"5","gbm_1005",-3.54789000467814
"6","gbm_1006",-2.92108960654401
"7","gbm_1007",-4.31270277290285
"8","gbm_1008",3.55398958604296
"9","gbm_1009",-8.42248705719826
"10","gbm_1010",-8.44353399958941
"11","gbm_1011",-7.95606771808447
"12","gbm_1012",-3.91339266777224
"13","gbm_1013",14.1197845842492
"14","gbm_1014",7.68226067057923
"15","gbm_1015",-4.6972066098126
"16","gbm_1016",-0.597005438914843
"17","gbm_1017",7.9905602658814
"18","gbm_1018",-8.03196378433578
"19","gbm_1019",1.38532535894784
"20","gbm_1020",-3.52238362430577
"21","gbm_1021",-8.4329541346062
"22","gbm_1022",-8.44359335377618
"23","gbm_1023",-1.65848147570363
"24","gbm_1024",-2.9750327752024
"25","gbm_1025",-8.60711686952413
"26","gbm_1026",-7.07548258512183
"27","gbm_1027",11.6248643223587
"28","gbm_1028",-8.26637502137627
"29","gbm_1029",-4.44262960919217
"30","gbm_1030",-6.17911060368615
"31","gbm_1031",14.0709702580725
"32","gbm_1032",-0.577256439192015
"33","gbm_1033",-8.42962379994309
"34","gbm_1034",-1.26511274910834
"35","gbm_1035",-8.39332065182334
"36","gbm_1036",-9.39180949478613
"37","gbm_1037",2.70290243667564
"38","gbm_1038",-2.95326282195176
"39","gbm_1039",-4.83657817379933
"40","gbm_1040",-1.01889877767334
"41","gbm_1041",9.41785724301465
"42","gbm_1042",-6.94047438331671
"43","gbm_1043",-6.79700368027375
"44","gbm_1044",-9.28089048270056
"45","gbm_1045",8.17625579436465
"46","gbm_1046",-6.88676721189572
"47","gbm_1047",1.01051607236571
"48","gbm_1048",-7.20666018700884
"49","gbm_1049",-2.93446362086493
"50","gbm_1050",8.47347523715118
"51","gbm_1051",-2.78492004973348
"52","gbm_1052",-9.41823546977795
"53","gbm_1053",1.03756744796729
"54","gbm_1054",-8.47483264492481
"55","gbm_1055",-2.90918301733311
"56","gbm_1056",4.84664174529178
"57","gbm_1057",-1.27577034341555
"58","gbm_1058",-2.04947568905864
"59","gbm_1059",-4.62669889904525
"60","gbm_1060",-9.26417632181141
"61","gbm_1061",-1.59327456358837
"62","gbm_1062",-7.78178269265789
"63","gbm_1063",-7.7588985459215
"64","gbm_1064",2.94943323769623
"65","gbm_1065",-6.3084910055589
"66","gbm_1066",-6.1871590688612
"67","gbm_1067",3.65514064099739
"68","gbm_1068",-8.59868311743742
"69","gbm_1069",4.13155791770168
"70","gbm_1070",-5.83325321332584
"71","gbm_1071",-2.25681722853328
"72","gbm_1072",9.549568211249
"73","gbm_1073",-4.77105946585296
"74","gbm_1074",10.80163017368
"75","gbm_1075",12.0316192519176
"76","gbm_1076",-2.81354292989574
"77","gbm_1077",-1.54392001711227
"78","gbm_1078",-6.94267134218718
