"","model","epp"
"1","gbm_1001",-2.76945042756714
"2","gbm_1002",6.41937120751196
"3","gbm_1003",-2.2671632505914
"4","gbm_1004",3.91044143798319
"5","gbm_1005",5.98123201885592
"6","gbm_1006",7.10300625240438
"7","gbm_1007",3.14057130026658
"8","gbm_1008",7.54035505144306
"9","gbm_1009",-0.974088099401088
"10","gbm_1010",-1.77447247570165
"11","gbm_1011",0.58214958976283
"12","gbm_1012",6.44164476626735
"13","gbm_1013",1.03156182801456
"14","gbm_1014",4.08993697656274
"15","gbm_1015",5.2972491434089
"16","gbm_1016",3.64058957478389
"17","gbm_1017",3.91024827282665
"18","gbm_1018",0.43416594552171
"19","gbm_1019",2.15396814463889
"20","gbm_1020",6.62379061122198
"21","gbm_1021",-0.669645237920743
"22","gbm_1022",-0.577441022905938
"23","gbm_1023",5.42868319210645
"24","gbm_1024",3.1032304796357
"25","gbm_1025",-0.956876048614962
"26","gbm_1026",2.73285321591219
"27","gbm_1027",5.75344740701224
"28","gbm_1028",-0.83464745204613
"29","gbm_1029",4.31878516323457
"30","gbm_1030",4.06625445334299
"31","gbm_1031",1.17261109479417
"32","gbm_1032",7.97990337560662
"33","gbm_1033",-1.57521508227267
"34","gbm_1034",5.78707486979623
"35","gbm_1035",-1.01176031476632
"36","gbm_1036",-2.79255439756146
"37","gbm_1037",-0.195523224097563
"38","gbm_1038",7.1664715468605
"39","gbm_1039",5.05089219721682
"40","gbm_1040",7.49287404707539
"41","gbm_1041",3.02578835388035
"42","gbm_1042",2.82813231574635
"43","gbm_1043",1.51861499464411
"44","gbm_1044",-2.86623258541558
"45","gbm_1045",8.42334115845356
"46","gbm_1046",3.36742136957754
"47","gbm_1047",3.06139898304296
"48","gbm_1048",1.49669642331017
"49","gbm_1049",4.03874647190001
"50","gbm_1050",5.14240006487547
"51","gbm_1051",5.38130635868788
"52","gbm_1052",-3.02125439310292
"53","gbm_1053",3.01798138744463
"54","gbm_1054",-1.38333238475282
"55","gbm_1055",6.34207244987849
"56","gbm_1056",2.44016021660116
"57","gbm_1057",3.4060936421924
"58","gbm_1058",2.79588816249717
"59","gbm_1059",3.62418843815603
"60","gbm_1060",-2.84004561312788
"61","gbm_1061",7.89994850583592
"62","gbm_1062",0.432897043755448
"63","gbm_1063",2.13731255679115
"64","gbm_1064",2.32389070449613
"65","gbm_1065",3.29367974423778
"66","gbm_1066",3.61746144608196
"67","gbm_1067",8.62438471935693
"68","gbm_1068",-1.15524833443969
"69","gbm_1069",1.89045489664958
"70","gbm_1070",4.29689923483049
"71","gbm_1071",3.80809802887256
"72","gbm_1072",4.42461625617096
"73","gbm_1073",3.39994545777142
"74","gbm_1074",4.77977820150489
"75","gbm_1075",6.63384546881332
"76","gbm_1076",8.05459496578022
"77","gbm_1077",4.2459637635254
"78","gbm_1078",1.97120472254634
"79","gbm_1079",-1.9291608557793
"80","gbm_1080",-1.1313896081095
"81","gbm_1081",-3.106899187968
"82","gbm_1082",-0.746158047332561
"83","gbm_1083",-1.46095726353146
"84","gbm_1084",3.51182218356891
"85","gbm_1085",5.39369427476579
"86","gbm_1086",-0.602224838450234
"87","gbm_1087",0.528929745264415
"88","gbm_1088",6.49327183740784
"89","gbm_1089",-1.94079862353152
"90","gbm_1090",2.36611633794661
"91","gbm_1091",5.4551113738783
"92","gbm_1092",-1.20752016057891
"93","gbm_1093",3.38100680083362
"94","gbm_1094",5.95835481780682
"95","gbm_1095",1.73447454924686
"96","gbm_1096",4.00019106390057
"97","gbm_1097",4.78769235203466
"98","gbm_1098",-3.06701298385686
"99","gbm_1099",7.50858037655576
"100","gbm_1100",8.38991477287689
"101","gbm_1101",4.05433402869274
"102","gbm_1102",8.5940159660025
"103","gbm_1103",-0.683442004601631
"104","gbm_1104",-2.95860954588504
"105","gbm_1105",5.82844017638877
"106","gbm_1106",8.17570755964473
"107","gbm_1107",3.9851021303454
"108","gbm_1108",5.74146283664752
"109","gbm_1109",6.38217093130549
"110","gbm_1110",6.38108907567822
"111","gbm_1111",-0.637997514364241
"112","gbm_1112",5.00985145577179
"113","gbm_1113",0.630953347503947
"114","gbm_1114",5.37710703882687
"115","gbm_1115",-0.248907628868429
"116","gbm_1116",6.37130540926036
"117","gbm_1117",6.15422311781172
"118","gbm_1118",6.07733039162464
"119","gbm_1119",-0.57686148883097
"120","gbm_1120",2.74714845655436
"121","gbm_1121",6.33233637350273
"122","gbm_1122",4.20609842078973
"123","gbm_1123",-1.13244338830542
"124","gbm_1124",-0.765433048747181
"125","gbm_1125",-2.43701359332513
"126","gbm_1126",5.37604487157898
"127","gbm_1127",-2.74452284097836
"128","gbm_1128",2.20952157088648
"129","gbm_1129",-2.07949600712738
"130","gbm_1130",2.46760171544023
"131","gbm_1131",-0.621949754598834
"132","gbm_1132",5.3054754002829
"133","gbm_1133",2.33691594464229
"134","gbm_1134",-0.611705778328019
"135","gbm_1135",5.43362702000883
"136","gbm_1136",5.8003876378769
"137","gbm_1137",0.419715248236135
"138","gbm_1138",-0.699343583001461
"139","gbm_1139",3.23423741509536
"140","gbm_1140",5.96292630757813
"141","gbm_1141",3.16486379702718
"142","gbm_1142",8.13526397390148
"143","gbm_1143",4.53872133765573
"144","gbm_1144",4.20460179968274
"145","gbm_1145",2.32119836856217
"146","gbm_1146",4.9738669803015
"147","gbm_1147",3.31000058827383
"148","gbm_1148",3.89642053930639
"149","gbm_1149",2.7928999852979
"150","gbm_1150",5.38976824240351
"151","gbm_1151",7.29731522715677
"152","gbm_1152",5.93040692159808
"153","gbm_1153",3.38704031780759
"154","gbm_1154",1.79206145118478
"155","gbm_1155",6.20850967191452
"156","gbm_1156",-1.29615740054159
"157","gbm_1157",4.19665803258063
"158","gbm_1158",0.770632651739474
"159","gbm_1159",-1.41801064657976
"160","gbm_1160",3.80523375608361
"161","gbm_1161",4.24992481754855
"162","gbm_1162",6.62269507920888
"163","gbm_1163",7.12627061341648
"164","gbm_1164",1.25062167110355
"165","gbm_1165",2.19947133640146
"166","gbm_1166",1.30887452348382
"167","gbm_1167",3.66890753949213
"168","gbm_1168",7.21395253214162
"169","gbm_1169",1.32258588723026
"170","gbm_1170",5.76265131973371
"171","gbm_1171",1.59824981388336
"172","gbm_1172",6.41381434651477
"173","gbm_1173",-2.99342964175009
"174","gbm_1174",4.3384549792184
"175","gbm_1175",5.76294833471263
"176","gbm_1176",5.11965272798337
"177","gbm_1177",1.69016186454644
"178","gbm_1178",-0.748793604558411
"179","gbm_1179",-0.808031369913837
"180","gbm_1180",7.2279704353883
"181","gbm_1181",0.205446712272886
"182","gbm_1182",7.45134695563735
"183","gbm_1183",2.78052786495275
"184","gbm_1184",7.04663575676904
"185","gbm_1185",8.36052786206575
"186","gbm_1186",2.19270129855022
"187","gbm_1187",-0.696967266607949
"188","gbm_1188",2.16507685180289
"189","gbm_1189",-2.85053299128281
"190","gbm_1190",7.23972980118586
"191","gbm_1191",2.6718000326401
"192","gbm_1192",3.74462512157303
"193","gbm_1193",7.59735160127416
"194","gbm_1194",-0.678588315622592
"195","gbm_1195",2.93500258227833
"196","gbm_1196",-1.88941690964329
"197","gbm_1197",3.49326513167377
"198","gbm_1198",1.90019544762603
"199","gbm_1199",6.64676823272741
