"","model","epp"
"1","gbm_1001",-8.88573434571942
"2","gbm_1002",3.34244288153324
"3","gbm_1003",-10.0180515155054
"4","gbm_1004",3.34244844613024
"5","gbm_1005",3.34245400430292
"6","gbm_1006",3.34245956234443
"7","gbm_1007",3.34246512025477
"8","gbm_1008",3.34247067803395
"9","gbm_1009",-10.0890164316407
"10","gbm_1010",-10.0412604590415
"11","gbm_1011",-10.0350135684173
"12","gbm_1012",3.34247625707588
"13","gbm_1013",3.34248181459278
"14","gbm_1014",3.34248737197855
"15","gbm_1015",3.3424929292332
"16","gbm_1016",3.34249848635674
"17","gbm_1017",3.34250404334919
"18","gbm_1018",-10.0791550893831
"19","gbm_1019",3.34250960788361
"20","gbm_1020",3.34251516461387
"21","gbm_1021",-10.1439156848894
"22","gbm_1022",-10.1293695440077
"23","gbm_1023",3.34252073912476
"24","gbm_1024",3.34252629559281
"25","gbm_1025",-10.2780578467104
"26","gbm_1026",-4.06193644457508
"27","gbm_1027",3.34253186302562
"28","gbm_1028",-10.2087600838011
"29","gbm_1029",3.34253742977827
"30","gbm_1030",3.34254298587012
"31","gbm_1031",3.34254854183096
"32","gbm_1032",3.34255409766081
"33","gbm_1033",-10.1111580079616
"34","gbm_1034",3.34255966174749
"35","gbm_1035",-10.2310510744652
"36","gbm_1036",-8.88645262478908
"37","gbm_1037",3.34256521526546
"38","gbm_1038",3.3425707707018
"39","gbm_1039",3.34257632600717
"40","gbm_1040",3.34258188118159
"41","gbm_1041",3.34258743622507
"42","gbm_1042",-0.151054421152437
"43","gbm_1043",-1.81074543536894
"44","gbm_1044",-8.88653118462644
"45","gbm_1045",3.34259339336322
"46","gbm_1046",-7.29547697908189
"47","gbm_1047",3.34259893453689
"48","gbm_1048",-5.14312558358612
"49","gbm_1049",3.34260447474979
"50","gbm_1050",3.34261002934409
"51","gbm_1051",3.34261558380759
"52","gbm_1052",-8.8866650409115
"53","gbm_1053",3.34262112507898
"54","gbm_1054",-10.0838547746904
"55","gbm_1055",2.61324396096383
"56","gbm_1056",3.34262927638837
"57","gbm_1057",3.34263483040967
"58","gbm_1058",3.34264038430022
"59","gbm_1059",3.34264593806005
"60","gbm_1060",-8.88680317660778
"61","gbm_1061",3.34265147862835
"62","gbm_1062",-9.82192278285069
"63","gbm_1063",-10.0747599390339
"64","gbm_1064",3.34265704154525
"65","gbm_1065",2.88815251316533
"66","gbm_1066",2.93921751336244
"67","gbm_1067",3.34266793461978
"68","gbm_1068",-10.3854541176389
"69","gbm_1069",3.34267350188465
"70","gbm_1070",3.11143825111559
"71","gbm_1071",3.34268165360289
"72","gbm_1072",3.34268720642436
"73","gbm_1073",2.81904747290795
"74","gbm_1074",3.34269537482805
"75","gbm_1075",3.34270092733806
"76","gbm_1076",3.34270647971751
"77","gbm_1077",3.34271203196641
"78","gbm_1078",-1.62213608029489
"79","gbm_1079",-10.0800460669252
"80","gbm_1080",-10.3930774143259
"81","gbm_1081",-8.88716796073766
"82","gbm_1082",-10.1217095401843
"83","gbm_1083",-10.3605873711374
"84","gbm_1084",3.34271769072349
"85","gbm_1085",3.34272324275683
"86","gbm_1086",-10.1882586785551
"87","gbm_1087",3.3427288047409
"88","gbm_1088",3.34273435651326
"89","gbm_1089",-9.92390769439944
"90","gbm_1090",-7.42339018648608
"91","gbm_1091",3.34273989846417
"92","gbm_1092",-10.1076307295315
"93","gbm_1093",3.34274545827864
"94","gbm_1094",3.34275100965758
"95","gbm_1095",-10.0628743375815
"96","gbm_1096",0.973532249318031
"97","gbm_1097",3.34275769132409
"98","gbm_1098",-8.88764923308177
"99","gbm_1099",3.34276322939814
"100","gbm_1100",3.34276878039532
"101","gbm_1101",3.34277433126217
"102","gbm_1102",3.34277988199869
"103","gbm_1103",-10.1180567035377
"104","gbm_1104",-10.1282243384984
"105","gbm_1105",3.34278544990493
"106","gbm_1106",3.34279100038078
"107","gbm_1107",3.34279655072633
"108","gbm_1108",-0.486416529436764
"109","gbm_1109",3.34280235890752
"110","gbm_1110",3.34280790903585
"111","gbm_1111",-10.1384931813131
"112","gbm_1112",3.34281346798364
"113","gbm_1113",-10.0592204760956
"114","gbm_1114",3.3428190250696
"115","gbm_1115",-10.0622629035222
"116","gbm_1116",2.21924790105829
"117","gbm_1117",3.34282696267082
"118","gbm_1118",3.34283251223703
"119","gbm_1119",-10.110220009499
"120","gbm_1120",2.49092035865891
"121","gbm_1121",2.76094386015628
"122","gbm_1122",3.34284323579
"123","gbm_1123",3.34284878499856
"124","gbm_1124",-10.1206423561243
"125","gbm_1125",-9.22555889081448
"126","gbm_1126",3.34285433321567
"127","gbm_1127",-8.88821710955321
"128","gbm_1128",3.34285986911766
"129","gbm_1129",-10.0891734609989
"130","gbm_1130",-3.39774420986291
"131","gbm_1131",-10.1354967950566
"132","gbm_1132",3.34286545318951
"133","gbm_1133",-4.35887123200713
"134","gbm_1134",-10.0981445637536
"135","gbm_1135",3.34287100669912
"136","gbm_1136",3.34287655529975
"137","gbm_1137",-9.88433081106471
"138","gbm_1138",-10.1312949215459
"139","gbm_1139",-1.08359041802724
"140","gbm_1140",3.34288224548537
"141","gbm_1141",3.34288779387288
"142","gbm_1142",3.34289334213051
"143","gbm_1143",-6.18506059924314
"144","gbm_1144",3.34289887590989
"145","gbm_1145",3.34290442390463
"146","gbm_1146",3.34290997176951
"147","gbm_1147",3.34291551950453
"148","gbm_1148",3.3429210671097
"149","gbm_1149",3.15119868000802
"150","gbm_1150",3.34292921843504
"151","gbm_1151",3.34293476573117
"152","gbm_1152",3.34294031289752
"153","gbm_1153",-2.81759016222635
"154","gbm_1154",-8.95354289525446
"155","gbm_1155",3.34294588358675
"156","gbm_1156",-10.2364783182587
"157","gbm_1157",3.34295144165233
"158","gbm_1158",3.34295698847793
"159","gbm_1159",-10.3276604645852
"160","gbm_1160",3.34296254816088
"161","gbm_1161",-5.1456719387679
"162","gbm_1162",3.10776719600357
"163","gbm_1163",3.34297067550996
"164","gbm_1164",3.34297622189687
"165","gbm_1165",3.34298176815412
"166","gbm_1166",-8.89901601699669
"167","gbm_1167",3.34298730127873
"168","gbm_1168",2.81705820126645
"169","gbm_1169",3.34299545891897
"170","gbm_1170",3.34300100473751
"171","gbm_1171",-9.99713571564249
"172","gbm_1172",1.78519430573123
"173","gbm_1173",-8.88895766369686
"174","gbm_1174",3.34300850803989
"175","gbm_1175",3.34301405357431
"176","gbm_1176",3.34301959897921
"177","gbm_1177",-10.1944265998337
"178","gbm_1178",-10.211489949198
"179","gbm_1179",3.34302516502836
"180","gbm_1180",3.34303071017412
"181","gbm_1181",-10.0257477848577
"182","gbm_1182",3.34303626164751
"183","gbm_1183",3.34304180653431
"184","gbm_1184",3.34304735129165
"185","gbm_1185",3.34305289591952
"186","gbm_1186",3.13827602361402
"187","gbm_1187",-10.1662167867771
"188","gbm_1188",-8.87692379193024
"189","gbm_1189",-9.80150443731605
"190","gbm_1190",3.34306103858821
"191","gbm_1191",1.9858295298199
"192","gbm_1192",3.34306874534378
"193","gbm_1193",3.34307428950147
"194","gbm_1194",-10.0550263299668
"195","gbm_1195",3.1513462103473
"196","gbm_1196",-10.0999764736457
"197","gbm_1197",2.8971974918741
"198","gbm_1198",-2.4155077734665
"199","gbm_1199",3.34308514796475
"200","gbm_1200",3.34309069180728
"201","gbm_1201",-8.24509099450487
"202","gbm_1202",3.34309622036851
"203","gbm_1203",2.42253183339398
"204","gbm_1204",-10.0284772434063
"205","gbm_1205",3.34310416652732
"206","gbm_1206",-10.0832949004312
"207","gbm_1207",-0.702599462228251
"208","gbm_1208",-10.37467804504
"209","gbm_1209",3.3431099057442
"210","gbm_1210",3.34311544906932
"211","gbm_1211",3.34312099226531
"212","gbm_1212",3.34312653533219
"213","gbm_1213",3.34313207826997
"214","gbm_1214",-3.02242096617205
"215","gbm_1215",-10.0898290153593
"216","gbm_1216",3.34313765476942
"217","gbm_1217",2.11576892965534
"218","gbm_1218",-10.1438016082178
"219","gbm_1219",3.34314554924777
"220","gbm_1220",3.34315109179909
"221","gbm_1221",3.34315663422143
"222","gbm_1222",-10.1509105024493
"223","gbm_1223",-6.36994544831146
"224","gbm_1224",3.3431621716708
"225","gbm_1225",-10.1352363657623
"226","gbm_1226",2.81422098952662
"227","gbm_1227",3.34317033097306
"228","gbm_1228",3.3431758729567
"229","gbm_1229",3.34318141481142
"230","gbm_1230",3.34318695653723
"231","gbm_1231",3.34319249813415
"232","gbm_1232",-10.2081370362728
"233","gbm_1233",3.34319805009844
"234","gbm_1234",3.34320359143754
"235","gbm_1235",3.34320913264779
"236","gbm_1236",-10.0688313252203
"237","gbm_1237",-2.80269321956564
"238","gbm_1238",3.34321471838341
"239","gbm_1239",-10.1356607736591
"240","gbm_1240",-0.625614361129887
"241","gbm_1241",-9.27243050916726
"242","gbm_1242",3.34322045160988
"243","gbm_1243",3.34322599252692
"244","gbm_1244",3.34323153331527
"245","gbm_1245",3.34323707397492
"246","gbm_1246",3.34324261450589
"247","gbm_1247",-10.2271042639751
"248","gbm_1248",3.34324816579426
"249","gbm_1249",-10.1435888401029
"250","gbm_1250",-4.27634943327604
"251","gbm_1251",-9.09596291998549
"252","gbm_1252",-1.45597053030997
"253","gbm_1253",3.34325379990571
"254","gbm_1254",3.3432593401165
"255","gbm_1255",2.50215455512361
"256","gbm_1256",3.34326747868962
"257","gbm_1257",-10.0571062122413
"258","gbm_1258",3.34327302575636
"259","gbm_1259",-10.4412133551646
"260","gbm_1260",-10.3295181954099
"261","gbm_1261",3.34327859367535
"262","gbm_1262",3.34328413332436
"263","gbm_1263",3.34328967284488
"264","gbm_1264",3.34329521223693
"265","gbm_1265",3.34330075150053
"266","gbm_1266",-10.1085132891619
"267","gbm_1267",0.713445703756165
"268","gbm_1268",3.34330725309035
"269","gbm_1269",3.34331279211908
"270","gbm_1270",-10.1815983903139
"271","gbm_1271",-10.2311222397451
"272","gbm_1272",3.34331835190246
"273","gbm_1273",3.34332389067436
"274","gbm_1274",3.34332942931792
"275","gbm_1275",-9.93176264278023
"276","gbm_1276",-2.94091732320019
"277","gbm_1277",3.34333500084062
"278","gbm_1278",3.34334053926892
"279","gbm_1279",3.34334607756896
"280","gbm_1280",3.34335161574075
"281","gbm_1281",-10.0617746355885
"282","gbm_1282",0.559383869686942
"283","gbm_1283",-10.0726756433094
"284","gbm_1284",3.3433579703746
"285","gbm_1285",3.34336350831815
"286","gbm_1286",-10.0061330805396
"287","gbm_1287",-10.2362135803732
"288","gbm_1288",2.37813646683938
"289","gbm_1289",-10.355688534334
"290","gbm_1290",-10.2643476775667
"291","gbm_1291",3.34337166343
"292","gbm_1292",3.34337720107122
"293","gbm_1293",-10.1086904843561
"294","gbm_1294",3.34338274688045
"295","gbm_1295",3.34338828426549
"296","gbm_1296",3.34339382152245
"297","gbm_1297",3.34339935865136
"298","gbm_1298",3.34340489565223
"299","gbm_1299",-10.1362447654268
"300","gbm_1300",3.34341044144374
"301","gbm_1301",3.34341597818853
"302","gbm_1302",-10.1637007910079
"303","gbm_1303",-9.4327546794135
"304","gbm_1304",3.3434215182407
"305","gbm_1305",-10.2933697902436
"306","gbm_1306",3.34342706699608
"307","gbm_1307",3.15948406034934
"308","gbm_1308",-10.2467593021155
"309","gbm_1309",0.698968869081635
"310","gbm_1310",-10.0482518649782
"311","gbm_1311",3.34343602137156
"312","gbm_1312",2.26727039766224
"313","gbm_1313",3.34344399482228
"314","gbm_1314",3.3434495308637
"315","gbm_1315",2.66775875495295
"316","gbm_1316",3.34345769628918
"317","gbm_1317",3.34346323202684
"318","gbm_1318",3.34346876763672
"319","gbm_1319",3.34347430311882
"320","gbm_1320",3.34347983847316
"321","gbm_1321",-10.0924397498929
"322","gbm_1322",-10.0404022651188
"323","gbm_1323",3.34348538841626
"324","gbm_1324",-10.1144932752491
"325","gbm_1325",-8.89181485182438
"326","gbm_1326",-9.7560644159727
"327","gbm_1327",3.34349091923098
"328","gbm_1328",3.34349645420166
"329","gbm_1329",3.34350198904464
"330","gbm_1330",3.34350752375992
"331","gbm_1331",3.34351305834751
"332","gbm_1332",3.34351859280743
"333","gbm_1333",3.34352412713969
"334","gbm_1334",3.34352966134431
"335","gbm_1335",3.34353519542129
"336","gbm_1336",3.34354072937065
"337","gbm_1337",3.3435462631924
"338","gbm_1338",3.34355179688655
"339","gbm_1339",3.34355733045313
"340","gbm_1340",3.34356286389213
"341","gbm_1341",3.34356839720358
"342","gbm_1342",-10.129520682056
"343","gbm_1343",3.34357393915357
"344","gbm_1344",3.09398765817035
"345","gbm_1345",3.34358205849858
"346","gbm_1346",3.34358759138011
"347","gbm_1347",1.90823024610445
"348","gbm_1348",-10.14048122196
"349","gbm_1349",3.34359518397963
"350","gbm_1350",3.34360071658013
"351","gbm_1351",-10.1315705553681
"352","gbm_1352",3.34360625786363
"353","gbm_1353",3.34361179020928
"354","gbm_1354",-10.2789995438103
"355","gbm_1355",-4.93930400218957
"356","gbm_1356",2.91988940609219
"357","gbm_1357",3.34361998524176
"358","gbm_1358",-9.95550515406564
"359","gbm_1359",3.34362552213537
"360","gbm_1360",-10.1294053570354
"361","gbm_1361",3.1098912798047
"362","gbm_1362",3.34363365219268
"363","gbm_1363",3.34363918393361
"364","gbm_1364",3.34364471554724
"365","gbm_1365",3.3436502470336
"366","gbm_1366",3.34365577839268
"367","gbm_1367",3.3436613096245
"368","gbm_1368",3.34366684072908
"369","gbm_1369",-10.2276811975635
"370","gbm_1370",3.34367238259669
"371","gbm_1371",-10.2528193229268
"372","gbm_1372",3.34367792486541
"373","gbm_1373",3.34368345558818
"374","gbm_1374",3.34368898618377
"375","gbm_1375",3.34369451665218
"376","gbm_1376",3.34370004699343
"377","gbm_1377",3.34370557720752
"378","gbm_1378",3.34371110729447
"379","gbm_1379",-0.719705746305738
"380","gbm_1380",3.34371682649453
"381","gbm_1381",-10.1703107349542
"382","gbm_1382",3.34372236602987
"383","gbm_1383",3.34372789578307
"384","gbm_1384",3.34373342540924
"385","gbm_1385",3.3437389549084
"386","gbm_1386",3.34374448428056
"387","gbm_1387",3.34375001352573
"388","gbm_1388",3.34375554264393
"389","gbm_1389",-10.0381082650649
"390","gbm_1390",3.34376107835526
"391","gbm_1391",-10.0228684838472
"392","gbm_1392",2.80248858402888
"393","gbm_1393",-9.15999949360967
"394","gbm_1394",-10.3524201432432
"395","gbm_1395",1.61901077907793
"396","gbm_1396",2.52628460841174
"397","gbm_1397",-10.1210317553858
"398","gbm_1398",-8.89279142650259
"399","gbm_1399",3.34377369746301
"400","gbm_1400",3.34377922608864
"401","glmnet_1001",-15.5507432246386
"402","glmnet_1002",-10.0887775725635
"403","glmnet_1003",-15.5509400041597
"404","glmnet_1004",-15.5511347998282
"405","glmnet_1005",-15.5513296053134
"406","glmnet_1006",-10.1496764666924
"407","glmnet_1007",-15.5515265314654
"408","glmnet_1008",-15.5517213529776
"409","glmnet_1009",-9.98753004800826
"410","glmnet_1010",-15.5519179840064
"411","glmnet_1011",-8.89305435468424
"412","glmnet_1012",-15.5521134355003
"413","glmnet_1013",-9.90911842202726
"414","glmnet_1014",-10.1774492332363
"415","glmnet_1015",-10.1869327210332
"416","glmnet_1016",-15.5523143027313
"417","glmnet_1017",-10.0051144902688
"418","glmnet_1018",-10.2137434281257
"419","glmnet_1019",-15.5525132236794
"420","glmnet_1020",-9.48767321202505
"421","glmnet_1021",-15.5527091728625
"422","glmnet_1022",-10.1549308715113
"423","glmnet_1023",-8.89356169798561
"424","glmnet_1024",-8.89364027503667
"425","glmnet_1025",-10.1579683031509
"426","glmnet_1026",-8.89377594168988
"427","glmnet_1027",-8.89385453032608
"428","glmnet_1028",-10.0857947236431
"429","glmnet_1029",-15.5529127033509
"430","glmnet_1030",-15.5531075580258
"431","glmnet_1031",-15.553302423824
"432","glmnet_1032",-9.97333589539215
"433","glmnet_1033",-10.1527992072394
"434","glmnet_1034",-10.1010443243704
"435","glmnet_1035",-10.1156963354487
"436","glmnet_1036",-15.5535052271496
"437","glmnet_1037",-15.5537001005907
"438","glmnet_1038",-15.5538949855533
"439","glmnet_1039",-15.5540898821903
"440","glmnet_1040",-10.1155062052904
"441","glmnet_1041",-15.5542868245586
"442","glmnet_1042",-9.04833690872811
"443","glmnet_1043",-10.197408295351
"444","glmnet_1044",-15.5544846561451
"445","glmnet_1045",-15.5546795794364
"446","glmnet_1046",-9.96209140753608
"447","glmnet_1047",-15.5548762633673
"448","glmnet_1048",-15.5550712080559
