"","model","epp"
"1","gbm_1001",-17.3708191061884
"2","gbm_1002",-8.34767961082765
"3","gbm_1003",-7.17360173355966
"4","gbm_1004",-2.64466728578248
"5","gbm_1005",-5.54044596503712
"6","gbm_1006",-5.70272098766616
"7","gbm_1007",-5.25284628869104
"8","gbm_1008",-1.06073341428133
"9","gbm_1009",-10.0507977449181
"10","gbm_1010",-7.09631790109282
"11","gbm_1011",-11.6728657821923
"12","gbm_1012",-6.62367039193023
"13","gbm_1013",-0.0546497048659639
"14","gbm_1014",-1.06312678680666
"15","gbm_1015",-7.30046133616817
"16","gbm_1016",-2.99090069900649
"17","gbm_1017",-1.85578445486658
"18","gbm_1018",-11.9560002898887
"19","gbm_1019",-1.85729244597143
"20","gbm_1020",-6.77602682641427
"21","gbm_1021",-9.09237989159671
"22","gbm_1022",-8.40276910661628
"23","gbm_1023",-3.21572094494881
"24","gbm_1024",-4.51236544245126
"25","gbm_1025",-10.7591185300059
"26","gbm_1026",-8.56181897711743
"27","gbm_1027",-0.207607182765178
"28","gbm_1028",-9.9867460739472
"29","gbm_1029",-5.77192139007675
"30","gbm_1030",-9.04490869380937
"31","gbm_1031",-0.85421808737935
"32","gbm_1032",-2.98544813908085
"33","gbm_1033",-6.99943249000616
"34","gbm_1034",-2.99829353852444
"35","gbm_1035",-10.9494377444863
"36","gbm_1036",-14.2616956388886
"37","gbm_1037",-3.24789644133861
"38","gbm_1038",-5.60859175101809
"39","gbm_1039",-7.62858062537916
"40","gbm_1040",-3.25823105681291
"41","gbm_1041",-0.438846602348914
"42","gbm_1042",-8.20806469296272
"43","gbm_1043",-12.0665461386427
"44","gbm_1044",-14.794605997475
"45","gbm_1045",-0.177460810397252
"46","gbm_1046",-9.86508913677625
"47","gbm_1047",-2.0204733534584
"48","gbm_1048",-9.17468305894287
"49","gbm_1049",-4.3199687640877
"50","gbm_1050",-0.909605943465344
"51","gbm_1051",-4.51148930319913
"52","gbm_1052",-14.9531694698519
"53","gbm_1053",-2.13373027663118
"54","gbm_1054",-10.9856475374001
"55","gbm_1055",-7.41799974148419
"56","gbm_1056",-1.06411962253931
"57","gbm_1057",-2.61247637512979
"58","gbm_1058",-3.48797155197206
"59","gbm_1059",-7.16866307991684
"60","gbm_1060",-17.1427186565401
"61","gbm_1061",-3.75501003156766
"62","gbm_1062",-11.828644841524
"63","gbm_1063",-10.5773619732737
"64","gbm_1064",-2.60359765349466
"65","gbm_1065",-9.17552898479089
"66","gbm_1066",-9.79303798018388
"67","gbm_1067",-1.27477260873664
"68","gbm_1068",-11.089094349351
"69","gbm_1069",-2.00340944165862
"70","gbm_1070",-8.28144382458308
"71","gbm_1071",-3.69021715308358
"72","gbm_1072",-0.438789310750385
"73","gbm_1073",-10.2606358713772
"74","gbm_1074",0.203404478244426
"75","gbm_1075",0.387858710621737
"76","gbm_1076",-5.88026337074662
"77","gbm_1077",-3.10189934899956
"78","gbm_1078",-8.55788961108927
"79","gbm_1079",-12.7276390059503
"80","gbm_1080",-11.0892255165493
"81","gbm_1081",-14.9534140711581
"82","gbm_1082",-8.50410276955786
"83","gbm_1083",-11.5841402121375
"84","gbm_1084",-9.55896559989183
"85","gbm_1085",-5.55356224142125
"86","gbm_1086",-9.36065686280965
"87","gbm_1087",-4.13727955933711
"88","gbm_1088",-0.100162988379209
"89","gbm_1089",-7.66871002729954
"90","gbm_1090",-9.59070943932752
"91","gbm_1091",-6.49550126091281
"92","gbm_1092",-7.50619204091819
"93","gbm_1093",-4.65405509914078
"94","gbm_1094",-5.37547809191115
"95","gbm_1095",-11.014490048169
"96","gbm_1096",-9.90841399818752
"97","gbm_1097",-1.65385083628802
"98","gbm_1098",-15.0493980066656
"99","gbm_1099",-0.029864580454011
"100","gbm_1100",-0.621686524809845
"101","gbm_1101",-0.693790428432869
"102","gbm_1102",-2.43785923599585
"103","gbm_1103",-8.91203475022592
"104","gbm_1104",-7.19843751497952
"105","gbm_1105",-0.738477197103955
"106","gbm_1106",-2.21053010406533
"107","gbm_1107",-3.44972062788561
"108","gbm_1108",-4.74177606344145
"109","gbm_1109",-2.04832234686671
"110","gbm_1110",-2.48863263539384
"111","gbm_1111",-9.11915577143077
"112","gbm_1112",-2.26227307224574
"113","gbm_1113",-11.7445305851369
"114","gbm_1114",-9.02180974139952
"115","gbm_1115",-13.6693578707642
"116","gbm_1116",-7.36633558613989
"117","gbm_1117",-3.57221954494605
"118","gbm_1118",-4.82168573835522
"119","gbm_1119",-8.63637837228219
"120","gbm_1120",-10.6663089540384
"121","gbm_1121",-8.66462677546917
"122","gbm_1122",-2.47039176257058
"123","gbm_1123",-3.15006281150493
"124","gbm_1124",-8.71939835955166
"125","gbm_1125",-13.6351481948838
"126","gbm_1126",-6.30963539317854
"127","gbm_1127",-14.7221294222546
"128","gbm_1128",-0.882899093068613
"129","gbm_1129",-7.00783569830983
"130","gbm_1130",-8.52496354177221
"131","gbm_1131",-8.83549051290007
"132","gbm_1132",-1.55802601267363
"133","gbm_1133",-11.4295061114339
"134","gbm_1134",-8.87861388770042
"135","gbm_1135",-6.75492549480043
"136","gbm_1136",-3.71295167757658
"137","gbm_1137",-11.8929269562001
"138","gbm_1138",-8.30089641489545
"139","gbm_1139",-8.16309679707271
"140","gbm_1140",-5.11975431934311
"141","gbm_1141",-5.69870915688717
"142","gbm_1142",-0.567171231759773
"143","gbm_1143",-6.27778937664975
"144","gbm_1144",-6.20453930530667
"145","gbm_1145",-0.485900049599315
"146","gbm_1146",-8.0952802509645
"147","gbm_1147",-2.97790707142472
"148","gbm_1148",-5.74138054552036
"149","gbm_1149",-9.93413894990075
"150","gbm_1150",-1.38826508533362
