"","model","epp"
"1","gbm_1001",-17.0483265170982
"2","gbm_1002",-11.1668515362086
"3","gbm_1003",-4.44146001100954
"4","gbm_1004",-1.09583459403226
"5","gbm_1005",-7.01141570837656
"6","gbm_1006",-6.45189999519897
"7","gbm_1007",-3.63237959689004
"8","gbm_1008",0.849642074851397
"9","gbm_1009",-8.2956425963074
"10","gbm_1010",-4.40435307765068
"11","gbm_1011",-14.0278792920873
"12","gbm_1012",-8.57413702483976
"13","gbm_1013",4.11060291529002
"14","gbm_1014",2.55289619531476
"15","gbm_1015",-7.99963791811449
"16","gbm_1016",-0.693863230743796
"17","gbm_1017",1.26879176009744
"18","gbm_1018",-14.1822561129668
"19","gbm_1019",0.295911351308841
"20","gbm_1020",-8.37091156983702
"21","gbm_1021",-7.0154338798046
"22","gbm_1022",-5.98705205648825
"23","gbm_1023",-1.49207041717818
"24","gbm_1024",-3.44049535091749
"25","gbm_1025",-9.30255422369712
"26","gbm_1026",-8.44966628779689
"27","gbm_1027",3.56620800896151
"28","gbm_1028",-8.2011347351722
"29","gbm_1029",-4.56867320839031
"30","gbm_1030",-9.89410893876411
"31","gbm_1031",3.09173154433953
"32","gbm_1032",-2.3530719289635
"33","gbm_1033",-4.37005276241901
"34","gbm_1034",-1.79287282023026
"35","gbm_1035",-9.67043288510345
"36","gbm_1036",-15.7830812254069
"37","gbm_1037",-0.07946761005911
"38","gbm_1038",-6.25730886097903
"39","gbm_1039",-8.61092531869783
"40","gbm_1040",-2.25825465506669
"41","gbm_1041",3.30422688979843
"42","gbm_1042",-7.91836421193427
"43","gbm_1043",-15.2419029078899
"44","gbm_1044",-15.7838991368861
"45","gbm_1045",2.78209666707763
"46","gbm_1046",-12.8136299018928
"47","gbm_1047",-0.13953177356309
"48","gbm_1048",-9.28438170422285
"49","gbm_1049",-3.16278317265113
"50","gbm_1050",2.63502690599673
"51","gbm_1051",-4.22264982866434
"52","gbm_1052",-15.7843664001998
"53","gbm_1053",-0.263353479628627
"54","gbm_1054",-9.51478309812144
"55","gbm_1055",-8.89687929113078
"56","gbm_1056",1.70594546329016
"57","gbm_1057",-1.50485168603473
"58","gbm_1058",-2.39392068917455
"59","gbm_1059",-9.06605476252586
"60","gbm_1060",-16.8248170793182
"61","gbm_1061",-3.71063935015265
"62","gbm_1062",-12.1348645927817
"63","gbm_1063",-11.090882973986
"64","gbm_1064",0.240901906215725
"65","gbm_1065",-9.91102921124405
"66","gbm_1066",-10.9873740411963
"67","gbm_1067",-0.295082994735669
"68","gbm_1068",-10.057373282756
"69","gbm_1069",1.06321619307392
"70","gbm_1070",-9.24685552505998
"71","gbm_1071",-1.54408270100155
"72","gbm_1072",3.86357622783155
"73","gbm_1073",-13.2617561548955
"74","gbm_1074",4.2722623100571
"75","gbm_1075",4.06467459829677
"76","gbm_1076",-7.72953109641654
"77","gbm_1077",-1.87677032774134
"78","gbm_1078",-8.39853173406931
"79","gbm_1079",-15.7852858973565
"80","gbm_1080",-9.9799887233312
"81","gbm_1081",-15.7857182804902
"82","gbm_1082",-6.13779242389311
"83","gbm_1083",-11.6970538173361
"84","gbm_1084",-10.6925132916897
"85","gbm_1085",-6.17456997045703
"86","gbm_1086",-7.33137050411309
"87","gbm_1087",-1.58107348982312
"88","gbm_1088",3.35841499168134
"89","gbm_1089",-4.62072228722149
"90","gbm_1090",-9.93367770610717
"91","gbm_1091",-6.66209010490686
"92","gbm_1092",-4.69017876864376
"93","gbm_1093",-3.41862509653432
"94","gbm_1094",-4.70554105828016
"95","gbm_1095",-11.752510299523
"96","gbm_1096",-13.0555370181781
"97","gbm_1097",-0.10706363018049
"98","gbm_1098",-15.7862200241364
"99","gbm_1099",2.99304830835436
"100","gbm_1100",1.56018867848793
"101","gbm_1101",2.03234033766023
"102","gbm_1102",-1.69077366819857
"103","gbm_1103",-6.65184774312518
"104","gbm_1104",-4.51465666536042
"105","gbm_1105",3.21537222667251
"106","gbm_1106",-1.28932126137094
"107","gbm_1107",-1.2598387313721
"108","gbm_1108",-5.43342528344885
"109","gbm_1109",-0.537624262730973
"110","gbm_1110",-1.09534505319154
"111","gbm_1111",-6.95843226800163
"112","gbm_1112",-0.276881383059364
"113","gbm_1113",-13.8163513193999
"114","gbm_1114",-12.5845994087021
"115","gbm_1115",-15.8894083242763
"116","gbm_1116",-8.83089037986988
"117","gbm_1117",-3.29114611228245
"118","gbm_1118",-3.59153028763454
"119","gbm_1119",-6.38128231299898
"120","gbm_1120",-13.3501898082826
"121","gbm_1121",-12.4181103811871
"122","gbm_1122",-0.464870673606761
"123","gbm_1123",-0.0993381929029758
"124","gbm_1124",-6.4762118392846
"125","gbm_1125",-15.7873351775253
"126","gbm_1126",-6.36080881063282
"127","gbm_1127",-15.787769770012
"128","gbm_1128",2.15335342401017
"129","gbm_1129",-4.42711167151333
"130","gbm_1130",-8.37810271019337
"131","gbm_1131",-6.70794815428058
"132","gbm_1132",0.888281146281803
"133","gbm_1133",-13.8742135255331
"134","gbm_1134",-6.72964445129939
"135","gbm_1135",-7.13653660818353
"136","gbm_1136",-3.52796473439736
"137","gbm_1137",-12.2415192542403
"138","gbm_1138",-5.86668035744891
"139","gbm_1139",-7.82862909651353
"140","gbm_1140",-4.12755473102311
"141","gbm_1141",-4.42608039088618
"142","gbm_1142",1.69672941015388
"143","gbm_1143",-8.13536887749396
"144","gbm_1144",-5.44427466320791
"145","gbm_1145",2.64022109208694
"146","gbm_1146",-9.69390948704798
"147","gbm_1147",-1.06607702595816
"148","gbm_1148",-4.46622833369925
"149","gbm_1149",-10.9632230328844
"150","gbm_1150",1.16190241317756
"151","gbm_1151",-4.08666502503436
"152","gbm_1152",-3.6742969463215
"153","gbm_1153",-8.31070223810131
"154","gbm_1154",-13.4458340789412
"155","gbm_1155",0.0645928821149083
"156","gbm_1156",-10.6204753078213
"157","gbm_1157",-3.618452375904
"158","gbm_1158",0.663264833964358
"159","gbm_1159",-11.6076323179713
"160","gbm_1160",1.24413180666639
"161","gbm_1161",-9.04164879373202
"162","gbm_1162",-8.22780416667699
"163","gbm_1163",-1.46300509582386
"164","gbm_1164",1.61378066294692
"165","gbm_1165",-1.24866534249287
"166","gbm_1166",-10.7236063365636
"167","gbm_1167",-1.306846760761
"168","gbm_1168",-9.07960511371584
"169","gbm_1169",1.42662223484029
"170","gbm_1170",-4.7444954428768
"171","gbm_1171",-11.3973772157879
"172","gbm_1172",-12.273006093941
"173","gbm_1173",-15.7884675980677
"174","gbm_1174",-3.09665138459117
"175","gbm_1175",3.25970564670969
"176","gbm_1176",3.88060883349783
"177","gbm_1177",-11.632002841688
"178","gbm_1178",-8.44134494772256
"179","gbm_1179",2.83297362936772
"180","gbm_1180",-1.32288207295547
"181","gbm_1181",-14.585852380122
"182","gbm_1182",-4.54913507853712
"183","gbm_1183",-3.67633463253116
"184","gbm_1184",4.77999655405953
"185","gbm_1185",-5.50632815095739
"186","gbm_1186",-5.96612410518427
"187","gbm_1187",-7.16883648838332
"188","gbm_1188",-10.4025220147854
"189","gbm_1189",-4.63469649429487
"190","gbm_1190",-7.76625059839529
"191","gbm_1191",-13.5771327027768
"192","gbm_1192",0.111188557005395
"193","gbm_1193",-2.67440983712812
"194","gbm_1194",-6.85939162110048
"195","gbm_1195",-0.99945315948389
"196","gbm_1196",-4.41824202356064
"197","gbm_1197",-11.0243274372783
"198","gbm_1198",-13.8700531232416
"199","gbm_1199",-0.998453229604661
"200","gbm_1200",1.39612874190238
"201","gbm_1201",-10.2025490541092
"202","gbm_1202",0.560195214135534
"203","gbm_1203",-7.140018793926
"204","gbm_1204",-15.6208740615771
"205","gbm_1205",-5.79660477558466
"206","gbm_1206",-14.0275377307302
"207","gbm_1207",-14.5136173618424
"208","gbm_1208",-9.90835390566309
"209","gbm_1209",3.9130469776991
"210","gbm_1210",-11.8201515831356
"211","gbm_1211",0.267036582899277
"212","gbm_1212",0.250270426480051
"213","gbm_1213",-12.6511232152955
"214","gbm_1214",-7.36548021117451
"215","gbm_1215",-4.7663545584004
"216","gbm_1216",2.73543533394769
"217","gbm_1217",-3.12180562173643
"218","gbm_1218",-7.32345775751519
"219","gbm_1219",-1.82323875274019
