"","model","epp"
"1","gbm_1001",6.49829600609328
"2","gbm_1002",6.49830901076692
"3","gbm_1003",5.67438723440623
"4","gbm_1004",6.4983269822593
"5","gbm_1005",6.49833998644483
"6","gbm_1006",6.49835299042888
"7","gbm_1007",6.49836599421147
"8","gbm_1008",6.4983789977926
"9","gbm_1009",6.49839200117228
"10","gbm_1010",5.42073196859402
"11","gbm_1011",6.49840967583453
"12","gbm_1012",6.49842267872651
"13","gbm_1013",5.9176182726487
"14","gbm_1014",6.49844106076299
"15","gbm_1015",6.06246448495116
"16","gbm_1016",6.49845931693701
"17","gbm_1017",6.05203472157098
"18","gbm_1018",6.49847756218976
"19","gbm_1019",6.49849056402954
"20","gbm_1020",6.498503565668
"21","gbm_1021",6.49851656710514
"22","gbm_1022",6.49852956834096
"23","gbm_1023",6.49854256937546
"24","gbm_1024",6.49855557020866
"25","gbm_1025",6.49856857084054
"26","gbm_1026",6.49858157127112
"27","gbm_1027",6.49859457150039
"28","gbm_1028",6.49860757152836
"29","gbm_1029",6.05498406070965
"30","gbm_1030",6.49862581626231
"31","gbm_1031",6.25531894745426
"32","gbm_1032",6.4986442098269
"33","gbm_1033",5.45638380033955
"34","gbm_1034",6.49866196269356
"35","gbm_1035",6.4986749616746
"36","gbm_1036",6.49868796045443
"37","gbm_1037",6.49870095903307
"38","gbm_1038",6.4987139574105
"39","gbm_1039",6.49872695558675
"40","gbm_1040",6.49873995356181
"41","gbm_1041",6.49875295133568
"42","gbm_1042",6.49876594890836
"43","gbm_1043",5.56810736006156
"44","gbm_1044",6.0598871275616
"45","gbm_1045",5.53646418375758
"46","gbm_1046",6.4987936260843
"47","gbm_1047",6.49880662301141
"48","gbm_1048",6.49881961973743
"49","gbm_1049",6.49883261626238
"50","gbm_1050",6.49884561258627
"51","gbm_1051",6.49885860870909
"52","gbm_1052",6.05998526327191
"53","gbm_1053",6.49887685251422
"54","gbm_1054",6.49888984815557
"55","gbm_1055",5.5413592678015
"56","gbm_1056",6.49890753528939
"57","gbm_1057",6.49892053044712
"58","gbm_1058",6.49893352540387
"59","gbm_1059",6.49894652015963
"60","gbm_1060",6.49895951471442
"61","gbm_1061",6.49897250906823
"62","gbm_1062",4.20446692569988
"63","gbm_1063",6.49898757190944
"64","gbm_1064",6.49900056583595
"65","gbm_1065",6.49901355956155
"66","gbm_1066",6.49902655308624
"67","gbm_1067",6.05537733141021
"68","gbm_1068",6.4990447882808
"69","gbm_1069",6.49905778132439
"70","gbm_1070",6.49907077416711
"71","gbm_1071",6.49908376680897
"72","gbm_1072",6.49909675924997
"73","gbm_1073",6.49910975149012
"74","gbm_1074",6.49912274352942
"75","gbm_1075",6.49913573536786
"76","gbm_1076",6.49914872700547
"77","gbm_1077",6.49916171844223
"78","gbm_1078",6.49917470967815
"79","gbm_1079",6.49918770071324
"80","gbm_1080",6.06035900648714
"81","gbm_1081",5.55806798380396
"82","gbm_1082",6.06036806556683
"83","gbm_1083",6.499215907253
"84","gbm_1084",6.49922889764604
"85","gbm_1085",6.49924188783835
"86","gbm_1086",6.06041652579076
"87","gbm_1087",6.49926012301551
"88","gbm_1088",6.49927311272717
"89","gbm_1089",6.49928610223814
"90","gbm_1090",6.49929909154842
"91","gbm_1091",6.49931208065801
"92","gbm_1092",6.06049464237602
"93","gbm_1093",6.49933031426015
"94","gbm_1094",6.04760334791156
"95","gbm_1095",6.49934853434798
"96","gbm_1096",6.49936152269709
"97","gbm_1097",6.49937451084559
