"","model","epp"
"1","glmnet_1001",-10.9698838070033
"2","glmnet_1002",-10.5940457484178
"3","glmnet_1003",-10.9707505432205
"4","glmnet_1004",-10.9713176379953
"5","glmnet_1005",-10.9718845688735
"6","glmnet_1006",-10.5922854720359
"7","glmnet_1007",-10.9727502198032
"8","glmnet_1008",-10.9733167533483
"9","glmnet_1009",-7.40458215868996
"10","glmnet_1010",-10.9739226007584
"11","glmnet_1011",-10.9744888904734
"12","glmnet_1012",-10.9750550311779
"13","glmnet_1013",-10.9756210250442
"14","glmnet_1014",-10.9761868743144
"15","glmnet_1015",-10.9767525813033
"16","glmnet_1016",-10.9773181484007
"17","glmnet_1017",-10.9778835780735
"18","glmnet_1018",-10.978448872869
"19","glmnet_1019",-10.9790140354171
"20","glmnet_1020",-10.9795790684332
"21","glmnet_1021",-10.9801439747211
"22","glmnet_1022",-10.6048788728158
"23","glmnet_1023",-10.981006941701
"24","glmnet_1024",-10.9815715526351
"25","glmnet_1025",-11.6563998913482
"26","glmnet_1026",-10.9824641072898
"27","glmnet_1027",-10.9830284859833
"28","glmnet_1028",-10.983592758628
"29","glmnet_1029",-10.9841569287954
"30","glmnet_1030",-10.9847210001741
"31","glmnet_1031",-10.9852849765732
"32","glmnet_1032",-10.9858488619268
"33","glmnet_1033",-11.1873980687593
"34","glmnet_1034",-10.986732911572
"35","kknn_1001",4.62060604492377
"36","kknn_1002",1.48462827320835
"37","kknn_1003",-6.88913197234596
"38","kknn_1004",4.79135246720803
"39","kknn_1005",3.85861684123151
"40","kknn_1006",0.527631758419249
"41","kknn_1007",4.85235929846069
"42","ranger_1001",0.525844593134469
"43","ranger_1002",1.83432578891665
"44","ranger_1003",-0.82093919023282
"45","ranger_1004",1.72716040958999
"46","ranger_1005",1.86946827610208
"47","ranger_1006",0.0782654483007176
"48","ranger_1007",1.67674983730639
"49","ranger_1008",-1.89150361549002
"50","ranger_1009",1.61345676470789
"51","ranger_1010",0.0603498448511696
"52","ranger_1011",1.03754647178159
"53","ranger_1012",0.335845305982657
"54","ranger_1013",1.79811175460016
"55","ranger_1014",-0.0445225562705792
"56","ranger_1015",1.22717098810035
"57","ranger_1016",1.87940509137944
"58","ranger_1017",0.572772891429195
"59","ranger_1018",-2.45653179669076
"60","ranger_1019",1.09888211526017
"61","ranger_1020",0.0667227485633521
"62","ranger_1021",1.77696155290112
"63","ranger_1022",-1.80741064193446
"64","ranger_1023",1.94822677839551
"65","ranger_1024",1.81768397750717
"66","ranger_1025",-0.82675992002526
"67","ranger_1026",0.0139667975715392
"68","ranger_1027",-0.356808302273854
"69","ranger_1028",0.419936895997138
"70","ranger_1029",-0.129875157790849
"71","ranger_1030",1.77566118441927
"72","ranger_1031",1.52594727948586
"73","ranger_1032",0.4939849826913
"74","ranger_1033",-0.37714498225929
"75","ranger_1034",1.61404713335463
"76","ranger_1035",-1.51097072726958
"77","ranger_1036",1.89738832609618
"78","ranger_1037",-3.22781531225661
"79","ranger_1038",0.403559274019939
"80","ranger_1039",0.667101120002701
"81","ranger_1040",1.3814173999922
"82","ranger_1041",0.777599025991617
"83","ranger_1042",-0.254702294905465
"84","ranger_1043",-2.15475367699089
"85","ranger_1044",1.87173607552423
"86","ranger_1045",-0.20281039827238
"87","ranger_1046",0.574578660178902
"88","ranger_1047",1.87644630598479
"89","ranger_1048",0.227176963786206
"90","ranger_1049",2.02410087333939
"91","ranger_1050",1.41538448268273
"92","ranger_1051",0.808865149155831
"93","ranger_1052",1.02391549081269
"94","ranger_1053",-0.361169878871974
"95","ranger_1054",1.71420184102433
"96","ranger_1055",-3.60898501215948
"97","ranger_1056",0.0250586282142974
"98","ranger_1057",1.86143608037349
"99","ranger_1058",-0.98014186980979
"100","ranger_1059",0.00331617294983103
"101","ranger_1060",1.58107057190234
"102","ranger_1061",1.50320206236475
"103","ranger_1062",1.9647624017033
"104","ranger_1063",1.96997390250795
"105","ranger_1064",0.108311384485657
"106","ranger_1065",0.495902100332106
"107","ranger_1066",-1.50554662079687
"108","ranger_1067",0.484622049843784
"109","ranger_1068",1.64159340792644
"110","ranger_1069",0.247927113710915
"111","ranger_1070",-1.11251526784443
"112","ranger_1071",-3.00257172129331
"113","ranger_1072",-0.542981414874677
"114","ranger_1073",-1.06271961793995
"115","ranger_1074",-0.235468039577757
"116","ranger_1075",-1.21926321309555
"117","ranger_1076",1.72472907595024
