"","model","epp"
"1","gbm_1001",-13.2025534980112
"2","gbm_1002",-8.02760404892064
"3","gbm_1003",-4.42091957193648
"4","gbm_1004",-1.94954368301032
"5","gbm_1005",-5.47277065356988
"6","gbm_1006",-5.69938853590174
"7","gbm_1007",-4.52700295555026
"8","gbm_1008",0.27063029714003
"9","gbm_1009",-9.70736179217269
"10","gbm_1010",-4.60351970377037
"11","gbm_1011",-12.1674918566172
"12","gbm_1012",-6.5441718090212
"13","gbm_1013",2.22917503033594
"14","gbm_1014",1.2057335377879
"15","gbm_1015",-7.1436027114339
"16","gbm_1016",-2.27051879092618
"17","gbm_1017",0.347831402622584
"18","gbm_1018",-12.3611289049862
"19","gbm_1019",0.206063853712153
"20","gbm_1020",-6.81100450708926
"21","gbm_1021",-9.02950526917064
"22","gbm_1022",-7.97714888304696
"23","gbm_1023",-2.59636744642183
"24","gbm_1024",-3.84701807134589
"25","gbm_1025",-11.0437392055542
"26","gbm_1026",-8.32850249115641
"27","gbm_1027",1.71048834046785
"28","gbm_1028",-9.85749585121073
"29","gbm_1029",-5.41410539904434
"30","gbm_1030",-8.62541085448884
"31","gbm_1031",1.84395693013784
"32","gbm_1032",-2.89570094678371
"33","gbm_1033",-4.88526991756408
"34","gbm_1034",-2.57617097556656
"35","gbm_1035",-11.1621343970726
"36","gbm_1036",-12.6542171603543
"37","gbm_1037",-0.876637228029362
"38","gbm_1038",-5.57853856013096
"39","gbm_1039",-7.43213778167722
"40","gbm_1040",-3.03336683076306
"41","gbm_1041",1.69331323825856
"42","gbm_1042",-7.93873898298129
"43","gbm_1043",-12.0770039207978
"44","gbm_1044",-12.7338175866969
"45","gbm_1045",1.13721954775838
"46","gbm_1046",-9.69154994185507
"47","gbm_1047",-0.280958913106599
"48","gbm_1048",-8.75940448066057
"49","gbm_1049",-3.67810652477872
"50","gbm_1050",1.1531933485176
"51","gbm_1051",-4.19584163713298
"52","gbm_1052",-12.8916404526969
"53","gbm_1053",-0.467095178126206
"54","gbm_1054",-10.73798503246
"55","gbm_1055",-7.31614122612373
"56","gbm_1056",0.858847258156381
"57","gbm_1057",-2.17322900011671
"58","gbm_1058",-2.9229092858077
"59","gbm_1059",-6.98205663349418
"60","gbm_1060",-13.0654275541493
"61","gbm_1061",-3.71300633796079
"62","gbm_1062",-12.015957764152
"63","gbm_1063",-10.6672337851429
"64","gbm_1064",-0.701463150737959
"65","gbm_1065",-8.75272054406972
"66","gbm_1066",-9.73006429140286
"67","gbm_1067",-0.593472744932756
"68","gbm_1068",-11.5310845777546
"69","gbm_1069",0.351744124932181
"70","gbm_1070",-7.93928099570103
"71","gbm_1071",-2.93183247450583
"72","gbm_1072",1.90533275577827
"73","gbm_1073",-10.8642436129394
"74","gbm_1074",2.17854980763496
"75","gbm_1075",1.94704162665988
"76","gbm_1076",-5.96437972162108
"77","gbm_1077",-2.59642296437038
"78","gbm_1078",-8.22043486129039
"79","gbm_1079",-12.3763142560047
"80","gbm_1080",-11.5461191156615
"81","gbm_1081",-12.8914093587997
"82","gbm_1082",-8.26093169755352
"83","gbm_1083",-11.9595188379324
"84","gbm_1084",-9.33556790759634
"85","gbm_1085",-5.44107205344552
"86","gbm_1086",-9.39390358614929
"87","gbm_1087",-2.93039726736524
"88","gbm_1088",1.4298995660817
"89","gbm_1089",-6.13201133356531
"90","gbm_1090",-9.42896096386387
"91","gbm_1091",-6.37163009080495
"92","gbm_1092",-6.64106735091089
"93","gbm_1093",-3.81419009011934
"94","gbm_1094",-4.91695882688199
"95","gbm_1095",-11.3440030445405
"96","gbm_1096",-10.1021044736469
"97","gbm_1097",-0.147030598945343
"98","gbm_1098",-12.9775256859838
"99","gbm_1099",1.22844593263042
"100","gbm_1100",0.507469548956471
"101","gbm_1101",1.11487343980222
"102","gbm_1102",-2.43985328635301
"103","gbm_1103",-8.78790594293638
"104","gbm_1104",-4.76361833375858
"105","gbm_1105",1.2804246281918
"106","gbm_1106",-2.15055149557848
"107","gbm_1107",-2.67653028845017
"108","gbm_1108",-4.59208475383052
"109","gbm_1109",-1.17759232010795
"110","gbm_1110",-2.08164189744014
"111","gbm_1111",-9.07225328525233
"112","gbm_1112",-1.24249691289642
"113","gbm_1113",-12.1369597641995
"114","gbm_1114",-9.04208330513541
"115","gbm_1115",-12.6361020670718
"116","gbm_1116",-7.26862519010403
"117","gbm_1117",-3.4233459580939
"118","gbm_1118",-4.18171314022636
"119","gbm_1119",-8.4428118661713
"120","gbm_1120",-10.8613638417803
"121","gbm_1121",-8.40618467045764
